id,name,enabled,applicable_if,expression
F025,"If the seed contains 0, 1, 2, and 4, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 1, 2, 4})",combo_sum % 2 == 0
F026,"If the seed contains 0, 1, 7, and 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 1, 8, 7})",combo_sum % 2 == 0
F027,"If the seed contains 2, 5, 6, and 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 2, 5, 6})",combo_sum % 2 == 0
F028,"If the seed contains 0, 1, 5, and 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 1, 5, 8})",combo_sum % 2 == 0
F029,"If the seed contains 2, 3, 4, and 5, eliminate all even sum combos.",True,"set(seed_digits).issuperset({2, 3, 4, 5})",combo_sum % 2 == 0
F030,"If the seed contains 0, 4, 5, and 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 8, 4, 5})",combo_sum % 2 == 0
F031,"If the seed contains 2, 5, 6, and 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({9, 2, 5, 6})",combo_sum % 2 == 0
F032,"If the seed contains 1, 2, 6, and 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 1, 2, 6})",combo_sum % 2 == 0
F033,"If the seed contains 0, 5, 8, and 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 8, 5, 9})",combo_sum % 2 == 0
F034,"If the seed contains 0, 1, 3, and 5, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 1, 3, 5})",combo_sum % 2 == 0
F035,"If the seed contains 0, 2, 6, and 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 9, 2, 6})",combo_sum % 2 == 0
F036,"If the seed contains 2, 3, 7, and 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 2, 3, 7})",combo_sum % 2 == 0
F037,"If the seed contains 1, 3, 7, and 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 1, 3, 7})",combo_sum % 2 == 0
F038,"If the seed contains 2, 3, 5, and 7, eliminate all even sum combos.",True,"set(seed_digits).issuperset({2, 3, 5, 7})",combo_sum % 2 == 0
F039,"If the seed contains 1, 2, 3, and 4, eliminate all even sum combos.",True,"set(seed_digits).issuperset({1, 2, 3, 4})",combo_sum % 2 == 0
F040,"If the seed contains 0, 3, 5, and 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 8, 3, 5})",combo_sum % 2 == 0
F041,"If the seed contains 0, 2, 3, and 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 9, 2, 3})",combo_sum % 2 == 0
F042,"If the seed contains 3, 4, 5, and 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({9, 3, 4, 5})",combo_sum % 2 != 0
F043,"If the seed contains 1, 3, 6, and 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 3, 6, 7})",combo_sum % 2 != 0
F044,"If the seed contains 1, 2, 3, and 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 2, 3, 6})",combo_sum % 2 != 0
F045,"If the seed contains 4, 6, 8, and 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 9, 4, 6})",combo_sum % 2 != 0
F046,"If the seed contains 0, 2, 7, and 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 9, 2, 7})",combo_sum % 2 != 0
F047,"If the seed contains 0, 2, 4, and 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 2, 4, 6})",combo_sum % 2 != 0
F048,"If the seed contains 0, 2, 3, and 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 2, 3, 7})",combo_sum % 2 != 0
F049,"If the seed contains 0, 1, 7, and 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 1, 9, 7})",combo_sum % 2 != 0
F050,"If the seed contains 0, 1, 3, and 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 1, 3, 6})",combo_sum % 2 != 0
F051,"If seed is a FullHouse (2 of one digit and 3 of another), eliminate even sum combos.",True,True,"set(seed_counts.values()) == {2,3} and combo_sum % 2 == 0"
F052,"If seed has new digits not in previous, they must appear in combo.",True,True,new_seed_digits and not new_seed_digits.intersection(combo_digits)
F053,Eliminate if at least 2 combo digits are in both prev_seed and prev_prev_draw.,True,True,sum(d in common_to_both for d in combo_digits) >= 2
F054,Eliminate if fewer than 2 combo digits seen in last two draws.,True,True,len(last2.intersection(combo_digits)) < 2
F055,Eliminate if two or more combo digits seen in last two draws.,True,True,len(last2.intersection(combo_digits)) >= 2
F056,Eliminate if all combo digits were seen in last two draws.,True,True,set(combo_digits).issubset(last2)
F057,Eliminate if seed sum ends with 7 and combo sum ends with 8.,True,True,seed_sum % 10 == 7 and combo_sum % 10 == 8
F058,Eliminate if seed sum ends with 4 and combo sum ends with 8.,True,True,seed_sum % 10 == 4 and combo_sum % 10 == 8
F059,Eliminate if seed sum ends with 1 and combo sum ends with 7.,True,True,seed_sum % 10 == 1 and combo_sum % 10 == 7
F060,Eliminate if seed sum ends with 4 and combo sum ends with 7.,True,True,seed_sum % 10 == 4 and combo_sum % 10 == 7
F061,Eliminate if seed sum ends with 4 and combo sum ends with 6.,True,True,seed_sum % 10 == 4 and combo_sum % 10 == 6
F062,Eliminate if seed sum ends with 5 and combo sum ends with 6.,True,True,seed_sum % 10 == 5 and combo_sum % 10 == 6
F063,Eliminate if seed sum ends with 8 and combo sum ends with 5.,True,True,seed_sum % 10 == 8 and combo_sum % 10 == 5
F064,Eliminate if seed sum ends with 0 and combo sum ends with 4.,True,True,seed_sum % 10 == 0 and combo_sum % 10 == 4
F065,"If the seed contains 0, 2, 8, and 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 8, 2, 9})",combo_sum % 2 != 0
F066,"If the seed contains 0, 1, 4, and 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 1, 4, 8})",combo_sum % 2 == 0
F067,"If the seed contains 0, 3, 5, and 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 3, 5, 7})",combo_sum % 2 != 0
F068,"If the seed contains 0, 3, 7, 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 8, 3, 7})",combo_sum % 2 != 0
F069,"If the seed contains 4, 6, 7, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({9, 4, 6, 7})",combo_sum % 2 != 0
F070,"If the seed contains 4, 5, 6, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({9, 4, 5, 6})",combo_sum % 2 != 0
F071,"If the seed contains 3, 6, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 9, 3, 6})",combo_sum % 2 != 0
F072,"If the seed contains 3, 4, 6, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({9, 3, 4, 6})",combo_sum % 2 != 0
F073,"If the seed contains 3, 4, 6, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({3, 4, 6, 7})",combo_sum % 2 != 0
F074,"If the seed contains 2, 7, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 9, 2, 7})",combo_sum % 2 != 0
F075,"If the seed contains 2, 6, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 9, 2, 6})",combo_sum % 2 != 0
F076,"If the seed contains 2, 4, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 9, 2, 4})",combo_sum % 2 != 0
F077,"If the seed contains 2, 4, 5, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({9, 2, 4, 5})",combo_sum % 2 != 0
F078,"If the seed contains 2, 3, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 9, 2, 3})",combo_sum % 2 != 0
F079,"If the seed contains 2, 3, 5, 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 2, 3, 5})",combo_sum % 2 != 0
F080,"If the seed contains 1, 7, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 1, 9, 7})",combo_sum % 2 != 0
F081,"If the seed contains 1, 5, 6, 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 1, 5, 6})",combo_sum % 2 != 0
F082,"If the seed contains 1, 4, 7, 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 1, 4, 7})",combo_sum % 2 != 0
F083,"If the seed contains 1, 4, 6, 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 1, 4, 6})",combo_sum % 2 != 0
F084,"If the seed contains 1, 4, 6, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 4, 6, 7})",combo_sum % 2 != 0
F085,"If the seed contains 1, 3, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 1, 3, 9})",combo_sum % 2 != 0
F086,"If the seed contains 0, 6, 7, 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 8, 6, 7})",combo_sum % 2 != 0
F087,"If the seed contains 0, 3, 7, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 9, 3, 7})",combo_sum % 2 != 0
F088,"If the seed contains 0, 3, 6, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 3, 6, 7})",combo_sum % 2 != 0
F089,"If the seed contains 0, 4, 5, 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 9, 4, 5})",combo_sum % 2 == 0
F090,"If the seed contains 0, 1, 8, 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 1, 8, 9})",combo_sum % 2 == 0
F091,"If the seed contains 0, 2, 3, 4, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 2, 3, 4})",combo_sum % 2 != 0
F092,"If the seed contains 0, 4, 5, 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 4, 5, 6})",combo_sum % 2 != 0
F093,"If the seed contains 0, 1, 2, 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 1, 2, 6})",combo_sum % 2 != 0
F094,"If the seed contains 0, 2, 6, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 2, 6, 7})",combo_sum % 2 != 0
F095,"If the seed contains 0, 1, 6, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 1, 6, 9})",combo_sum % 2 != 0
F096,"If the seed contains 6, 7, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 9, 6, 7})",combo_sum % 2 != 0
F097,"If the seed contains 2, 3, 6, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({2, 3, 6, 7})",combo_sum % 2 != 0
F098,Eliminate if seed sum ends with 3 and combo sum ends with 3.,True,True,seed_sum % 10 == 3 and combo_sum % 10 == 3
F099,"If the seed contains 5, 6, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 9, 5, 6})",combo_sum % 2 != 0
F100,"If the seed contains 0, 3, 4, 5, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 3, 4, 5})",combo_sum % 2 != 0
F101,"If the seed contains 3, 7, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 9, 3, 7})",combo_sum % 2 != 0
F102,"If the seed contains 3, 4, 5, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({3, 4, 5, 7})",combo_sum % 2 != 0
F103,"If the seed contains 3, 4, 5, 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({3, 4, 5, 6})",combo_sum % 2 != 0
F104,"If the seed contains 2, 5, 7, 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 2, 5, 7})",combo_sum % 2 != 0
F105,"If the seed contains 2, 4, 6, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({2, 4, 6, 7})",combo_sum % 2 != 0
F106,"If the seed contains 2, 4, 5, 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 2, 4, 5})",combo_sum % 2 != 0
F107,"If the seed contains 1, 5, 7, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 5, 9, 7})",combo_sum % 2 != 0
F108,"If the seed contains 1, 4, 6, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 4, 6, 9})",combo_sum % 2 != 0
F109,"If the seed contains 1, 4, 5, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 4, 5, 7})",combo_sum % 2 != 0
F110,"If the seed contains 3, 4, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 9, 3, 4})",combo_sum % 2 != 0
F111,"If the seed contains 0, 1, 6, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 1, 6, 7})",combo_sum % 2 != 0
F112,"If the seed contains 0, 1, 3, 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 1, 3, 8})",combo_sum % 2 != 0
F113,"If the seed contains 0, 4, 5, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 4, 5, 7})",combo_sum % 2 != 0
F114,"If the seed contains 4, 7, 8, 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 9, 4, 7})",combo_sum % 2 == 0
F115,"If the seed contains 2, 3, 4, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 2, 3, 4})",combo_sum % 2 == 0
F116,"If the seed contains 0, 2, 5, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 8, 2, 5})",combo_sum % 2 == 0
F117,"If the seed contains 0, 4, 7, 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 9, 4, 7})",combo_sum % 2 == 0
F118,"If the seed contains 2, 3, 5, 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({9, 2, 3, 5})",combo_sum % 2 == 0
F119,"If the seed contains 2, 3, 6, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 2, 3, 6})",combo_sum % 2 == 0
F120,"If the seed contains 0, 4, 7, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 8, 4, 7})",combo_sum % 2 == 0
F121,"If the seed contains 0, 1, 3, 7, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 1, 3, 7})",combo_sum % 2 == 0
F122,"If the seed contains 0, 2, 3, 5, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 2, 3, 5})",combo_sum % 2 == 0
F123,"If the seed contains 0, 3, 5, 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 9, 3, 5})",combo_sum % 2 == 0
F124,"If the seed contains 1, 2, 4, 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({1, 2, 4, 9})",combo_sum % 2 == 0
F125,"If the seed contains 3, 4, 6, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 3, 4, 6})",combo_sum % 2 == 0
F126,"If the seed contains 1, 2, 5, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 1, 2, 5})",combo_sum % 2 == 0
F127,"If the seed contains 2, 5, 6, 7, eliminate all even sum combos.",True,"set(seed_digits).issuperset({2, 5, 6, 7})",combo_sum % 2 == 0
F128,"If the seed contains 0, 6, 7, 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 9, 6, 7})",combo_sum % 2 == 0
F129,"If the seed contains 0, 2, 5, 6, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 2, 5, 6})",combo_sum % 2 == 0
F130,"If the seed contains 0, 2, 4, 5, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 2, 4, 5})",combo_sum % 2 != 0
F131,"If the seed contains 0, 2, 6, 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 8, 2, 6})",combo_sum % 2 != 0
F132,"If the seed contains 1, 4, 5, 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 4, 5, 6})",combo_sum % 2 != 0
F133,"If the seed contains 1, 3, 7, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 3, 9, 7})",combo_sum % 2 != 0
F134,"If the seed contains 1, 2, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 1, 2, 9})",combo_sum % 2 != 0
F135,"If the seed contains 1, 2, 5, 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 2, 5, 6})",combo_sum % 2 != 0
F136,"If the seed contains 3, 4, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({9, 3, 4})",combo_sum % 2 != 0
F137,"If the seed contains 4, 6, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({9, 4, 6})",combo_sum % 2 != 0
F138,"If the seed contains 0, 3, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 3, 7})",combo_sum % 2 != 0
F139,"If the seed contains 3, 4, 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 3, 4})",combo_sum % 2 != 0
F140,"If the seed contains 4, 6, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({4, 6, 7})",combo_sum % 2 != 0
F141,"If the seed contains 1, 3, 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 3, 6})",combo_sum % 2 != 0
F142,"If the seed contains 2, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 9, 2})",combo_sum % 2 != 0
F143,"If the seed contains 1, 2, 3, 5, eliminate all even sum combos.",True,"set(seed_digits).issuperset({1, 2, 3, 5})",combo_sum % 2 == 0
F144,"If the seed contains 2, 3, 5, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 2, 3, 5})",combo_sum % 2 == 0
F145,"If the seed contains 0, 2, 4, 7, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 2, 4, 7})",combo_sum % 2 == 0
F146,"If the seed contains 0, 2, 3, 7, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 2, 3, 7})",combo_sum % 2 == 0
F147,"If the seed contains 1, 3, 5, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 1, 3, 5})",combo_sum % 2 == 0
F148,"If the seed contains 1, 2, 5, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 1, 2, 5})",combo_sum % 2 == 0
F149,"If the seed contains 2, 3, 6, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 2, 3, 6})",combo_sum % 2 == 0
F150,"If the seed contains 1, 4, 6, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 1, 4, 6})",combo_sum % 2 == 0
F151,"If the seed contains 1, 3, 4, 7, eliminate all even sum combos.",True,"set(seed_digits).issuperset({1, 3, 4, 7})",combo_sum % 2 == 0
F152,"If the seed contains 0, 2, 4, 6, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 2, 4, 6})",combo_sum % 2 == 0
F153,"If the seed contains 3, 5, 8, 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 9, 3, 5})",combo_sum % 2 == 0
F154,"If the seed contains 0, 1, 4, 6, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 1, 4, 6})",combo_sum % 2 == 0
F155,"If the seed contains 1, 2, 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 2, 6})",combo_sum % 2 != 0
F156,"If the seed contains 0, 3, 6, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 8, 3, 6})",combo_sum % 2 == 0
F157,"If the seed contains 4, 5, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({4, 5, 7})",combo_sum % 2 != 0
F158,"If the seed contains 3, 6, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({9, 3, 6})",combo_sum % 2 != 0
F159,"If the seed contains 1, 3, 4, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 3, 4, 7})",combo_sum % 2 != 0
F160,"If the seed contains 1, 3, 5, 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 3, 5, 7})",combo_sum % 2 != 0
F161,"If the seed contains 0, 7, 8, 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0, 8, 9, 7})",combo_sum % 2 != 0
F162,"If the seed contains 1, 3, 5, 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 3, 5, 6})",combo_sum % 2 != 0
F163,"If the seed contains 1, 3, 4, 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1, 3, 4, 6})",combo_sum % 2 != 0
F164,"If the seed contains 2, 4, 5, 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({2, 4, 5, 6})",combo_sum % 2 != 0
F165,"If the seed contains 1, 2, 6, 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({8, 1, 2, 6})",combo_sum % 2 != 0
F166,"If the seed contains 0, 1, 4, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 1, 4})",combo_sum % 2 == 0
F167,"If the seed contains 0, 1, 2, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 1, 2})",combo_sum % 2 == 0
F168,"If the seed contains 0, 8, 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 8, 9})",combo_sum % 2 == 0
F169,"If the seed contains 0, 4, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 8, 4})",combo_sum % 2 == 0
F170,"If the seed contains 1, 2, 5, eliminate all even sum combos.",True,"set(seed_digits).issuperset({1, 2, 5})",combo_sum % 2 == 0
F171,"If the seed contains 4, 5, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 4, 5})",combo_sum % 2 == 0
F172,"If the seed contains 1, 7, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 1, 7})",combo_sum % 2 == 0
F173,"If the seed contains 2, 7, 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({8, 2, 7})",combo_sum % 2 == 0
F174,"If the seed contains 2, 3, 5, eliminate all even sum combos.",True,"set(seed_digits).issuperset({2, 3, 5})",combo_sum % 2 == 0
F175,"If the seed contains 1, 2, 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({1, 2, 9})",combo_sum % 2 == 0
F176,"If the seed contains 4, 5, 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({4, 5, 6})",combo_sum % 2 != 0
F177,"If the seed contains 1, 2, 5, 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({1, 2, 5, 9})",combo_sum % 2 == 0
F178,Eliminate if seed sum ends with 3 and combo sum ends with 1.,True,True,seed_sum % 10 == 3 and combo_sum % 10 == 1
F179,Eliminate if combo shares 5+ digits with seed and combo sum < 22.,True,True,len(set(seed_digits).intersection(combo_digits)) >= 5 and combo_sum < 22
F180,Eliminate if seed sum is 16-24 and combo sum is 25-33.,True,True,16 <= seed_sum <= 24 and 25 <= combo_sum <= 33
F181,Eliminate if seed sum is 25-33 and combo sum is 0-15.,True,True,25 <= seed_sum <= 33 and combo_sum <= 15
F182,"Eliminate combos with 4 or more prime digits (2,3,5,7).",True,True,"sum(1 for d in combo_digits if d in {2,3,5,7}) >= 4"
F183,Eliminate combos that include a digit and its mirror.,True,True,any(mirror[d] in combo_digits for d in combo_digits)
F184,"Eliminate combos containing exactly 3 digits: two appearing twice, one once.",True,True,"len(set(combo_digits)) == 3 and sorted([combo_digits.count(d) for d in set(combo_digits)]) == [1,2,2]"
F185,Eliminate combos in which 3 digits are identical.,True,True,any(combo_digits.count(d) == 3 for d in set(combo_digits))
F186,Eliminate combos which contain 4 identical digits.,True,True,any(combo_digits.count(d) == 4 for d in set(combo_digits))
F187,Eliminate combos whose digit sum matches seed mirror sum.,True,True,combo_sum == sum(mirror[d] for d in seed_digits)
F188,Eliminate combo if it contains no due digits.,True,True,not any(d in due_digits for d in combo_digits)
F189,Eliminate combo if combo sum last digit equals seed sum first digit.,True,True,combo_sum % 10 == int(str(seed_sum)[0])
F190,Eliminate combo if seed contains {}.,True,True,True
F191,Eliminate combo if seed contains {}.,True,True,True
F192,Eliminate combo if seed contains {}.,True,True,True
F193,Eliminate combo if seed contains {}.,True,True,True
F194,Eliminate combo if seed contains 1.,True,True,set(seed_digits).issuperset({1})
F195,Eliminate combo if seed contains 5.,True,True,set(seed_digits).issuperset({5})
F196,Eliminate combo if seed contains 6.,True,True,set(seed_digits).issuperset({6})
